"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"97","Sanctum 2","May 15, 2013","$14.99","91% (77%)","1,417,488 ±30,330","06:58 (02:47)"
"152","Surgeon Simulator","Apr 19, 2013","$9.99","86% (71%)","1,376,988 ±29,896","03:28 (01:51)"
"423","Space Engineers","Oct 23, 2013","$24.99","94% (N/A)","1,339,222 ±29,485","41:01 (10:02)"
"415","Just Cause 2: Multiplayer Mod","Dec 16, 2013","Free","94% (N/A)","1,332,387 ±29,410","07:06 (02:35)"
"4","FEZ","May 1, 2013","$9.99","91% (91%)","1,311,710 ±29,182","03:19 (01:07)"
"323","America's Army: Proving Grounds Beta","Aug 29, 2013","Free","77% (N/A)","1,302,141 ±29,076","20:20 (00:34)"
"33","Monaco","Apr 24, 2013","$14.99","91% (83%)","1,239,597 ±28,373","03:36 (01:33)"
"21","Papers, Please","Aug 8, 2013","$9.99","96% (85%)","1,239,255 ±28,369","05:04 (02:42)"
"114","Star Conflict","Feb 27, 2013","Free","85% (75%)","1,237,033 ±28,344","16:54 (01:40)"
"504","7 Days to Die","Dec 13, 2013","$24.99","82% (N/A)","1,190,040 ±27,803","46:00 (10:12)"
"216","Dead Island Riptide","Apr 22, 2013","$14.99","86% (61%)","1,172,439 ±27,597","15:08 (06:28)"
"132","War of the Roses","Feb 6, 2013","Free","59% (73%)","1,142,705 ±27,247","11:42 (01:07)"
"94","Risk of Rain","Nov 8, 2013","$9.99","95% (77%)","1,137,237 ±27,182","14:52 (05:18)"
"45","Far Cry 3 Blood Dragon","May 1, 2013","$14.99","89% (81%)","1,106,136 ±26,809","06:11 (02:21)"
"3","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","91% (91%)","1,103,231 ±26,774","14:56 (04:28)"
"23","Rogue Legacy","Jun 27, 2013","$14.99","94% (85%)","1,090,244 ±26,617","15:11 (08:05)"
"63","Outlast","Sep 4, 2013","$19.99","96% (80%)","1,046,497 ±26,079","04:54 (02:14)"
"66","State of Decay","Nov 5, 2013","Free","88% (79%)","1,020,181 ±25,751","16:45 (06:12)"
"54","Brutal Legend","Feb 26, 2013","$14.99","93% (80%)","1,000,358 ±25,500","05:43 (03:15)"
"381","Dust: An Elysian Tail","May 24, 2013","$14.99","96% (N/A)","982,245 ±25,269","06:43 (03:01)"
"154","Enclave","Oct 4, 2013","$4.99","79% (71%)","979,852 ±25,239","01:44 (00:51)"
"175","Game Dev Tycoon","Aug 29, 2013","$9.99","96% (68%)","979,169 ±25,230","11:47 (07:13)"
"470","Mortal Kombat Komplete Edition","Jul 3, 2013","$19.99","90% (N/A)","924,656 ±24,520","11:49 (04:19)"
"193","The Bureau: XCOM Declassified","Aug 19, 2013","$19.99","67% (66%)","916,967 ±24,418","07:35 (02:30)"
"40","Antichamber","Jan 31, 2013","$19.99","95% (82%)","916,625 ±24,414","03:53 (01:44)"
"284","FINAL FANTASY VII","Jul 4, 2013","$11.99","93% (N/A)","905,688 ±24,268","23:05 (04:14)"
"538","Ragnarok Online 2","May 1, 2013","Free","64% (N/A)","900,391 ±24,197","27:38 (01:14)"
"5","Brothers - A Tale of Two Sons","Sep 3, 2013","$14.99","95% (90%)","867,410 ±23,752","02:43 (01:57)"
"535","DCS World","Aug 2, 2013","Free","81% (N/A)","855,448 ±23,588","02:54 (00:02)"
"579","The Walking Dead: Season Two","Dec 17, 2013","$24.99","96% (N/A)","851,176 ±23,529","10:49 (09:22)"
"105","Shadowrun Returns","Jul 25, 2013","$14.99","90% (76%)","820,075 ±23,097","15:33 (07:51)"
"283","SpeedRunners","Aug 26, 2013","$14.99","95% (N/A)","795,809 ±22,753","08:58 (03:38)"
"76","Race The Sun","Dec 9, 2013","$9.99","94% (79%)","792,563 ±22,707","02:07 (00:47)"
"56","GRID 2","May 27, 2013","$29.99","81% (80%)","768,810 ±22,365","15:15 (05:04)"
"112","Reus","May 16, 2013","$9.99","83% (75%)","767,784 ±22,350","04:13 (01:42)"
"140","Hammerwatch","Aug 12, 2013","$9.99","90% (72%)","767,784 ±22,350","06:09 (02:36)"
"12","Europa Universalis IV","Aug 13, 2013","$39.99","92% (87%)","754,114 ±22,151","155:39 (29:43)"
"82","Teleglitch: Die More Edition","Jul 24, 2013","$12.99","84% (78%)","750,354 ±22,096","01:47 (00:51)"
"288","Gun Monkeys","Jun 28, 2013","$5.99","56% (N/A)","750,012 ±22,091","01:15 (00:28)"
"180","Dungeonland","Nov 12, 2013","Free","75% (67%)","743,348 ±21,993","02:53 (00:57)"
"565","Assassin's Creed IV Black Flag","Nov 19, 2013","$29.99","90% (N/A)","741,468 ±21,965","48:27 (33:11)"
"510","Viscera Cleanup Detail: Shadow Warrior","Oct 11, 2013","Free","81% (N/A)","736,513 ±21,892","00:50 (00:19)"
"412","Knights and Merchants","Oct 14, 2013","$6.99","80% (N/A)","723,354 ±21,696","03:30 (00:55)"
"48","Stronghold HD","Oct 21, 2013","$5.99","94% (81%)","723,013 ±21,691","07:58 (01:58)"
"531","Panzar","Nov 25, 2013","Free","63% (N/A)","711,734 ±21,522","10:09 (01:44)"
"86","LEGO MARVEL Super Heroes","Oct 22, 2013","$19.99","94% (78%)","701,139 ±21,361","32:23 (10:18)"
"10","Guacamelee! Gold Edition","Aug 8, 2013","$14.99","94% (88%)","683,709 ±21,095","04:23 (01:56)"
"25","The Wolf Among Us","Oct 11, 2013","$24.99","97% (85%)","683,026 ±21,084","09:43 (08:25)"
"364","Haunted Memories","Oct 4, 2013","Free","63% (N/A)","682,000 ±21,068","00:44 (00:14)"
"213","Contagion","Oct 25, 2013","$19.99","76% (62%)","671,235 ±20,902","05:48 (02:36)"
"2","System Shock 2","May 10, 2013","$9.99","94% (92%)","649,020 ±20,554","04:52 (01:15)"
"142","Cities in Motion 2","Apr 2, 2013","$19.99","59% (72%)","648,336 ±20,543","13:04 (01:06)"
"35","Gunpoint","Jun 3, 2013","$9.99","97% (83%)","645,944 ±20,505","03:39 (02:39)"
"528","Receiver","Apr 29, 2013","$4.99","76% (N/A)","637,912 ±20,378","01:14 (00:18)"
"73","Sonic & All-Stars Racing Transformed","Jan 31, 2013","$19.99","95% (79%)","635,178 ±20,334","08:57 (03:53)"
"70","Call of Juarez Gunslinger","May 22, 2013","$14.99","95% (79%)","634,836 ±20,329","08:15 (04:51)"
"526","Injustice: Gods Among Us Ultimate Edition","Nov 12, 2013","$19.99","86% (N/A)","630,564 ±20,260","07:57 (04:46)"
"13","The Swapper","May 30, 2013","$14.99","97% (87%)","627,146 ±20,206","02:47 (01:15)"
"234","Guardians of Middle-earth","Aug 29, 2013","$19.99","22% (56%)","620,653 ±20,101","02:37 (01:02)"
"160","Resident Evil 6 / Biohazard 6","Mar 22, 2013","$29.99","81% (69%)","618,773 ±20,071","21:36 (10:18)"
"311","Tom Clancy's Splinter Cell Blacklist","Aug 20, 2013","$29.99","85% (N/A)","612,109 ±19,962","20:12 (11:06)"
"16","Gone Home","Aug 15, 2013","$19.99","77% (86%)","599,121 ±19,750","02:56 (01:52)"
"262","Magic 2014","Jun 26, 2013","$9.99","83% (N/A)","572,463 ±19,307","29:37 (10:58)"
"129","Shadow Warrior","Sep 26, 2013","$39.99","95% (73%)","571,438 ±19,289","07:51 (03:06)"
"36","Skullgirls","Aug 22, 2013","$14.99","94% (83%)","567,337 ±19,220","10:22 (03:09)"
"6","Spelunky","Aug 8, 2013","$14.99","91% (90%)","560,843 ±19,110","15:02 (02:09)"
"9","Duke Nukem 3D: Megaton Edition","Mar 20, 2013","$9.99","97% (89%)","546,147 ±18,859","04:18 (01:21)"
"241","Sniper Ghost Warrior 2","Mar 11, 2013","$19.99","73% (52%)","538,286 ±18,723","12:37 (04:53)"
"265","Project Zomboid","Nov 8, 2013","$14.99","92% (N/A)","533,843 ±18,645","13:44 (04:53)"
"79","Stronghold Crusader HD","Oct 21, 2013","$9.99","93% (78%)","532,647 ±18,625","11:53 (02:05)"
"111","Poker Night 2","Apr 26, 2013","$4.99","84% (75%)","504,964 ±18,135","06:56 (03:17)"
"185","The Showdown Effect","Mar 5, 2013","$9.99","67% (67%)","501,546 ±18,074","03:47 (00:57)"
"29","Might & Magic: Duel of Champions","Nov 7, 2013","Free","83% (84%)","497,274 ±17,997","30:23 (02:42)"
"24","DmC Devil May Cry","Jan 24, 2013","$29.99","95% (85%)","493,344 ±17,926","13:06 (08:43)"
"363","Worms Armageddon","Mar 19, 2013","$14.99","95% (N/A)","483,091 ±17,739","06:25 (01:11)"
"221","Sacred Citadel","Apr 16, 2013","$9.99","69% (61%)","472,325 ±17,540","02:23 (00:39)"
"429","KnightShift","Sep 27, 2013","$6.99","N/A (N/A)","471,129 ±17,518","00:50 (00:06)"
"20","BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien","Feb 26, 2013","$14.99","92% (85%)","468,566 ±17,471","03:28 (01:44)"
"466","Cities XL Platinum","Feb 6, 2013","$19.99","62% (N/A)","468,395 ±17,467","09:42 (02:13)"
"80","Baldur's Gate: Enhanced Edition","Jan 16, 2013","$19.99","90% (78%)","462,243 ±17,352","22:20 (04:28)"
"276","Farming Simulator 2013","Oct 9, 2013","$27.99","93% (N/A)","460,876 ±17,327","75:23 (16:25)"
"350","Pinball Arcade","Nov 4, 2013","Free","74% (N/A)","458,996 ±17,292","06:33 (00:18)"
"195","Strike Suit Zero","Jan 23, 2013","$19.99","80% (66%)","450,964 ±17,140","03:07 (01:17)"
"55","Wargame: AirLand Battle","May 29, 2013","$19.99","92% (80%)","448,401 ±17,091","35:08 (06:33)"
"144","Amnesia: A Machine for Pigs","Sep 10, 2013","$19.99","65% (72%)","444,813 ±17,023","04:52 (02:45)"
"540","Soldier Front 2","Jul 3, 2013","Free","81% (N/A)","442,933 ±16,987","22:24 (01:44)"
"533","FINAL FANTASY VIII","Dec 5, 2013","$11.99","90% (N/A)","441,395 ±16,957","27:25 (06:36)"
"214","Sniper Elite: Nazi Zombie Army","Feb 28, 2013","$14.99","88% (62%)","439,857 ±16,928","06:31 (03:37)"
"60","NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst","Oct 24, 2013","$29.99","91% (80%)","426,186 ±16,663","17:24 (09:44)"
"331","Wasteland 1 - The Original Classic","Nov 13, 2013","$5.99","N/A (N/A)","415,079 ±16,445","02:32 (00:05)"
"156","Democracy 3","Oct 14, 2013","$24.99","78% (70%)","413,712 ±16,418","06:11 (02:56)"
"425","Sid Meier's Ace Patrol","Aug 27, 2013","$4.99","N/A (N/A)","407,047 ±16,285","03:46 (01:45)"
"339","Sid Meier's Ace Patrol: Pacific Skies","Nov 5, 2013","$4.99","N/A (N/A)","402,604 ±16,196","04:16 (01:36)"
"266","Rocksmith 2014","Oct 22, 2013","$59.99","93% (N/A)","394,060 ±16,024","41:40 (09:59)"
"64","Proteus","Jan 30, 2013","$9.99","74% (80%)","386,883 ±15,877","00:50 (00:17)"
"101","SteamWorld Dig","Dec 5, 2013","$9.99","92% (76%)","386,028 ±15,860","03:51 (02:16)"
"147","FORCED","Oct 24, 2013","$14.99","76% (72%)","383,636 ±15,811","03:42 (01:57)"
"250","Aliens: Colonial Marines","Feb 11, 2013","$14.99","54% (45%)","378,338 ±15,701","08:54 (04:42)"
"434","Viscera Cleanup Detail: Santa's Rampage","Dec 13, 2013","$2.49","91% (N/A)","377,313 ±15,680","02:35 (01:22)"
"294","Euro Truck Simulator","Mar 8, 2013","$8.99","82% (N/A)","377,142 ±15,677","03:01 (00:48)"
"122","The Bridge","Feb 22, 2013","$9.99","89% (74%)","373,895 ±15,609","02:11 (01:18)"
"436","Organ Trail: Director's Cut","Mar 19, 2013","$4.99","88% (N/A)","372,870 ±15,588","06:30 (02:17)"
"109","Beatbuddy: Tale of the Guardians","Aug 6, 2013","$9.99","77% (75%)","370,478 ±15,538","01:43 (00:41)"
"282","DLC Quest","Mar 18, 2013","$2.99","88% (N/A)","366,889 ±15,462","02:43 (01:37)"
"217","Evoland","Apr 4, 2013","$9.99","84% (61%)","366,377 ±15,451","03:17 (02:26)"
"444","Shadow Warrior Classic Redux","Jul 8, 2013","$9.99","94% (N/A)","366,377 ±15,451","03:06 (01:01)"
"571","Portal 2 Sixense Perceptual Pack","Sep 20, 2013","Free","N/A (N/A)","361,763 ±15,354","00:04 (00:01)"
"198","Remember Me","Jun 3, 2013","$29.99","86% (65%)","360,566 ±15,329","07:50 (04:59)"
"26","Pinball FX2","May 10, 2013","Free","91% (84%)","355,953 ±15,230","09:33 (00:56)"
"380","Kingdom Wars","Apr 1, 2013","Free","70% (N/A)","352,706 ±15,161","09:39 (00:58)"
"455","Knights of Pen and Paper +1","Jun 18, 2013","$9.99","86% (N/A)","351,851 ±15,143","07:14 (02:48)"
"239","Sniper Elite: Nazi Zombie Army 2","Oct 31, 2013","$14.99","85% (53%)","350,655 ±15,117","04:21 (02:36)"
"158","Papo & Yo","Apr 18, 2013","$14.99","94% (70%)","346,383 ±15,025","01:58 (00:59)"
"547","Construct 2 Free","Jan 25, 2013","Free","88% (N/A)","344,503 ±14,984","03:23 (00:12)"
"270","THE KING OF FIGHTERS XIII STEAM EDITION","Sep 13, 2013","$19.99","90% (N/A)","340,402 ±14,894","14:21 (02:48)"
"75","Ragnarok","Oct 31, 2013","Free","81% (79%)","339,206 ±14,868","13:32 (00:23)"
"62","Fallen Enchantress: Legendary Heroes","May 22, 2013","$39.99","75% (80%)","322,630 ±14,501","34:37 (07:50)"
"38","Joe Danger 2: The Movie","Jun 24, 2013","$14.99","N/A (82%)","313,402 ±14,292","01:45 (00:51)"
"181","Long Live The Queen","Nov 8, 2013","$9.99","94% (67%)","311,181 ±14,242","04:54 (02:46)"
"179","The Banner Saga: Factions","Feb 25, 2013","Free","77% (67%)","289,137 ±13,728","07:51 (00:38)"
"34","Starseed Pilgrim","Apr 16, 2013","$5.99","N/A (83%)","287,086 ±13,680","01:10 (00:09)"
"81","Baldur's Gate II: Enhanced Edition","Nov 15, 2013","$19.99","86% (78%)","284,352 ±13,615","33:50 (04:26)"
"92","Resident Evil Revelations / Biohazard Revelations UE","May 20, 2013","$29.99","86% (77%)","284,352 ±13,615","15:53 (05:59)"
"233","Superfrog HD","Sep 12, 2013","$9.99","47% (56%)","281,789 ±13,553","02:58 (00:50)"
"445","Godus","Sep 13, 2013","$19.99","35% (N/A)","281,276 ±13,541","20:46 (06:38)"
"277","Toki Tori 2+","Jul 11, 2013","$14.99","80% (N/A)","279,225 ±13,491","02:29 (00:55)"
"279","Champions of Regnum","Feb 27, 2013","Free","61% (N/A)","275,124 ±13,392","13:46 (00:38)"
"72","Weird Worlds: Return to Infinite Space","Mar 19, 2013","$9.99","N/A (79%)","274,612 ±13,380","00:57 (00:07)"
"47","Stronghold 2","Oct 21, 2013","$5.99","94% (81%)","274,441 ±13,375","13:01 (02:48)"
"50","Stronghold Legends","Oct 21, 2013","$5.99","94% (81%)","274,441 ±13,375","07:34 (01:33)"
"248","Arma Tactics","Oct 1, 2013","$8.99","N/A (47%)","273,928 ±13,363","02:03 (00:53)"
"199","Slender: The Arrival","Oct 28, 2013","$2.99","89% (65%)","269,998 ±13,267","02:45 (01:09)"
"230","God Mode","Apr 19, 2013","$9.99","73% (58%)","269,827 ±13,263","04:17 (02:25)"
"458","Leviathan: Warships","Apr 30, 2013","$9.99","N/A (N/A)","263,675 ±13,111","03:18 (00:47)"
"462","Omerta - City of Gangsters","Jan 31, 2013","$19.99","62% (N/A)","260,941 ±13,043","13:41 (05:38)"
"19","Trials Evolution Gold Edition","Mar 21, 2013","$19.99","80% (85%)","260,428 ±13,030","17:49 (06:43)"
"440","Castlevania: Lords of Shadow - Ultimate Edition","Aug 27, 2013","$29.99","81% (N/A)","259,403 ±13,004","10:29 (03:33)"
"69","Sang-Froid - Tales of Werewolves","Apr 5, 2013","$14.99","87% (79%)","259,232 ±13,000","02:55 (01:08)"
"235","POSTAL","Mar 21, 2013","$4.99","74% (56%)","258,548 ±12,983","01:14 (00:33)"
"88","ACE COMBAT ASSAULT HORIZON Enhanced Edition","Jan 24, 2013","$19.99","61% (77%)","256,498 ±12,931","06:13 (02:00)"
"52","King Arthur's Gold","Nov 5, 2013","$9.99","87% (81%)","253,764 ±12,862","09:42 (01:17)"
"93","F1 2013","Oct 3, 2013","$24.99","85% (77%)","251,713 ±12,810","40:56 (09:06)"
"98","Anomaly 2","May 15, 2013","$14.99","N/A (77%)","247,441 ±12,701","02:36 (01:03)"
"398","The Typing of The Dead: Overkill","Oct 29, 2013","$4.99","90% (N/A)","247,270 ±12,697","02:43 (01:23)"
"157","ENSLAVED: Odyssey to the West Premium Edition","Oct 24, 2013","$19.99","86% (70%)","243,852 ±12,609","04:33 (01:53)"
"295","Zeno Clash 2","Apr 30, 2013","$14.99","76% (N/A)","242,314 ±12,569","02:56 (01:46)"
"328","Frozen Hearth","Dec 19, 2013","$17.99","N/A (N/A)","241,289 ±12,542","01:53 (01:15)"
"332","Cook, Serve, Delicious!","Oct 8, 2013","$9.99","95% (N/A)","238,384 ±12,467","07:50 (02:42)"
"362","TrackMania Stadium","Jun 20, 2013","$9.99","90% (N/A)","237,871 ±12,453","14:32 (03:26)"
"356","PAC-MAN Championship Edition DX+","Sep 24, 2013","$9.99","95% (N/A)","236,846 ±12,426","02:46 (00:54)"
"373","Marvel Puzzle Quest","Dec 5, 2013","Free","69% (N/A)","236,162 ±12,409","110:27 (02:30)"
"59","La-Mulana","Apr 15, 2013","$14.99","83% (80%)","235,479 ±12,391","06:45 (01:17)"
"519","Interstellar Marines","Jul 2, 2013","$14.99","71% (N/A)","234,795 ±12,373","03:16 (00:47)"
"90","Anachronox","Oct 17, 2013","$6.99","N/A (77%)","234,454 ±12,364","01:39 (00:18)"
"176","The Cave","Jan 23, 2013","$14.99","86% (68%)","233,428 ±12,337","04:38 (02:50)"
"130","Worms Clan Wars","Aug 15, 2013","$24.99","79% (73%)","226,422 ±12,150","06:21 (02:26)"
"465","Daikatana","Oct 1, 2013","$6.99","N/A (N/A)","225,909 ±12,136","01:17 (00:12)"
"108","Anna - Extended Edition","Apr 12, 2013","$9.99","65% (75%)","225,397 ±12,123","02:51 (01:29)"
"227","Space Hulk","Aug 15, 2013","$24.99","72% (58%)","220,612 ±11,993","05:11 (01:42)"
"377","Solstice Arena","Oct 15, 2013","Free","81% (N/A)","217,365 ±11,905","17:21 (02:51)"
"399","Pool Nation","Oct 18, 2013","$9.99","91% (N/A)","214,460 ±11,825","06:18 (02:58)"
"210","Legend of Dungeon","Sep 13, 2013","$9.99","75% (62%)","211,042 ±11,731","02:47 (00:54)"
"289","Ravaged Zombie Apocalypse","Aug 19, 2013","$14.99","43% (N/A)","205,916 ±11,587","16:09 (00:55)"
"382","3DMark","Feb 4, 2013","$24.99","93% (N/A)","205,061 ±11,563","05:24 (01:10)"
"573","Bridge Constructor","Oct 16, 2013","$9.99","78% (N/A)","201,473 ±11,462","06:12 (01:34)"
"472","Dungeon Party","Mar 13, 2013","Free","N/A (N/A)","200,960 ±11,447","13:54 (00:13)"
"103","Volgarr the Viking","Sep 13, 2013","$9.99","86% (76%)","199,422 ±11,403","03:40 (01:15)"
"437","Smashmuck Champions","Sep 11, 2013","Free","79% (N/A)","197,201 ±11,340","03:53 (00:29)"
"474","Edge of Space","Jun 28, 2013","$12.99","56% (N/A)","197,201 ±11,340","05:04 (01:27)"
"171","A Valley Without Wind 2","Feb 18, 2013","$14.99","N/A (68%)","195,834 ±11,300","02:03 (00:32)"
"95","Eldritch","Oct 21, 2013","$14.99","89% (77%)","190,195 ±11,137","02:20 (01:11)"
"187","Strike Suit Infinity","Apr 30, 2013","$6.99","N/A (66%)","189,682 ±11,122","02:20 (00:52)"
"544","Super Sanctum TD","May 9, 2013","$3.99","89% (N/A)","187,631 ±11,061","05:06 (01:14)"
"397","Professional Farmer 2014","Nov 27, 2013","$14.99","N/A (N/A)","186,264 ±11,021","10:20 (02:11)"
"146","Skulls of the Shogun","Jul 29, 2013","$9.99","N/A (72%)","184,726 ±10,975","04:46 (01:52)"
"117","Anodyne","Mar 22, 2013","$4.99","85% (75%)","179,600 ±10,822","03:04 (01:47)"
"309","Divinity: Dragon Commander","Aug 6, 2013","$39.99","78% (N/A)","178,916 ±10,802","08:17 (04:37)"
"427","Draw a Stickman: EPIC","Dec 3, 2013","$4.99","77% (N/A)","178,574 ±10,791","01:48 (00:54)"
"468","Castle Story","Sep 23, 2013","$19.99","42% (N/A)","177,720 ±10,765","08:17 (02:59)"
"113","Cubetractor","May 29, 2013","$9.99","N/A (75%)","175,328 ±10,693","00:32 (00:12)"
"17","Startopia","Oct 10, 2013","$6.99","N/A (86%)","174,644 ±10,672","03:44 (00:28)"
"219","StarDrive","Apr 26, 2013","$29.99","46% (61%)","173,790 ±10,646","18:50 (05:36)"
"145","PixelJunk Monsters Ultimate","Aug 26, 2013","$9.99","78% (72%)","173,277 ±10,630","04:31 (02:50)"
"537","Blood Omen 2: Legacy of Kain","Sep 24, 2013","$6.99","N/A (N/A)","172,593 ±10,609","02:39 (00:29)"
"303","Grim Dawn","Nov 5, 2013","$24.99","94% (N/A)","172,081 ±10,593","29:48 (08:12)"
"188","DuckTales Remastered","Aug 13, 2013","$14.99","90% (66%)","171,739 ±10,583","04:37 (02:22)"
"446","Rise of the Triad","Jul 31, 2013","$14.99","71% (N/A)","170,201 ±10,535","03:24 (01:31)"
"8","Rayman Legends","Sep 3, 2013","$29.99","95% (89%)","169,518 ±10,514","14:09 (04:33)"
"259","X Rebirth","Nov 15, 2013","$39.99","31% (33%)","169,176 ±10,504","32:49 (05:43)"
"498","Blockland","Dec 16, 2013","$9.99","76% (N/A)","168,834 ±10,493","18:46 (01:45)"
"125","Eador. Masters of the Broken World","Apr 19, 2013","$19.99","66% (74%)","167,980 ±10,466","29:22 (04:25)"
"320","Type:Rider","Nov 6, 2013","$4.99","80% (N/A)","166,612 ±10,424","02:23 (02:02)"
"325","Savant - Ascent","Dec 4, 2013","$1.99","94% (N/A)","165,075 ±10,376","01:36 (00:44)"
"207","Deadpool","Jun 25, 2013","$39.99","93% (63%)","164,904 ±10,370","07:42 (05:47)"
"333","NBA 2K14","Oct 1, 2013","$29.99","73% (N/A)","163,707 ±10,333","76:33 (20:15)"
"121","Incredipede","Mar 18, 2013","$9.99","N/A (74%)","163,537 ±10,327","01:22 (00:26)"
"337","Electronic Super Joy","Aug 23, 2013","$7.99","92% (N/A)","163,195 ±10,316","03:07 (01:31)"
"387","Rush Bros","May 24, 2013","$0.99","62% (N/A)","161,657 ±10,268","02:05 (01:16)"
"486","Penny Arcade's On the Rain-Slick Precipice of Darkness 4","Jun 7, 2013","$4.99","N/A (N/A)","160,290 ±10,224","04:55 (01:55)"
"32","Valdis Story: Abyssal City","Oct 30, 2013","$14.99","86% (83%)","158,923 ±10,180","08:25 (02:21)"
"57","140","Oct 16, 2013","$4.99","93% (80%)","158,923 ±10,180","03:54 (00:55)"
"228","Urban Trial Freestyle","Sep 18, 2013","$9.99","79% (58%)","158,752 ±10,175","02:20 (01:11)"
"557","Bloody Trapland","Nov 18, 2013","$9.99","87% (N/A)","158,068 ±10,153","03:00 (01:47)"
"269","Small World 2","Dec 11, 2013","$9.99","N/A (N/A)","153,454 ±10,004","05:17 (01:09)"
"352","Kings Bounty: Legions","Dec 10, 2013","Free","52% (N/A)","152,429 ±9,970","14:09 (00:51)"
"226","Deadly Premonition: The Director's Cut","Oct 29, 2013","$24.99","71% (59%)","151,404 ±9,937","06:14 (02:15)"
"502","Ravensword: Shadowlands","Dec 6, 2013","$6.99","N/A (N/A)","149,866 ±9,886","01:32 (00:12)"
"161","Shelter","Aug 28, 2013","$2.49","87% (69%)","149,695 ±9,881","03:45 (01:09)"
"374","Jack Lumber","Apr 30, 2013","$4.99","N/A (N/A)","147,986 ±9,824","01:20 (00:35)"
"267","Mars: War Logs","Apr 26, 2013","$14.99","74% (N/A)","145,935 ±9,756","06:35 (03:25)"
"302","Ys II","Feb 14, 2013","$14.99","86% (N/A)","145,594 ±9,744","04:55 (01:41)"
"463","Ys I","Feb 14, 2013","$14.99","86% (N/A)","145,594 ±9,744","04:05 (01:53)"
"173","Scribblenauts Unmasked","Sep 24, 2013","$19.99","84% (68%)","144,739 ±9,716","06:50 (03:22)"
"137","Divekick","Aug 20, 2013","$9.99","88% (73%)","141,151 ±9,595","03:01 (01:43)"
"127","CastleStorm","Jul 29, 2013","$9.99","90% (73%)","139,784 ±9,548","06:07 (03:15)"
"208","Dragon's Prophet (EU)","18 Sep, 2013","Free","75% (63%)","137,904 ±9,484","27:47 (02:16)"
"280","Bridge Project","Mar 28, 2013","$19.99","N/A (N/A)","136,879 ±9,448","02:57 (01:00)"
"116","The Night of the Rabbit","May 28, 2013","$2.99","91% (75%)","136,366 ±9,431","06:06 (02:14)"
"141","The Journey Down: Chapter One","Jan 9, 2013","$8.99","88% (72%)","135,682 ±9,407","02:23 (02:17)"
"271","Nuclear Throne","Oct 11, 2013","$12.99","98% (N/A)","135,682 ±9,407","18:19 (04:33)"
"212","Contrast","Nov 15, 2013","$14.99","90% (62%)","135,341 ±9,395","03:43 (02:14)"
"237","Speedball 2 HD","Dec 5, 2013","$9.99","N/A (53%)","133,632 ±9,336","02:02 (01:38)"
"577","Sparkle 2 Evo","Oct 24, 2013","$4.99","73% (N/A)","133,461 ±9,330","01:52 (00:55)"
"342","Talisman: Prologue","Oct 14, 2013","$6.99","N/A (N/A)","131,068 ±9,246","02:21 (01:34)"
"534","RPG Maker XP","Dec 13, 2013","$24.99","N/A (N/A)","130,043 ±9,210","12:24 (00:08)"
"96","Rise of Flight: Channel Battles Edition","Sep 5, 2013","Free","51% (77%)","129,872 ±9,204","03:17 (00:25)"
"191","The Novelist","Dec 10, 2013","$14.99","79% (66%)","128,847 ±9,167","01:50 (01:14)"
"184","Ittle Dew","Jul 23, 2013","$9.99","94% (67%)","127,138 ±9,106","03:49 (01:36)"
"493","Unholy Heights","Oct 4, 2013","$3.99","91% (N/A)","126,625 ±9,088","05:06 (02:22)"
"46","TrackMania Canyon","Feb 27, 2013","$19.99","91% (81%)","126,284 ±9,076","14:24 (03:30)"
"251","Impire","Feb 14, 2013","$19.99","N/A (45%)","125,942 ±9,063","09:35 (04:12)"
"506","Tales of Maj'Eyal","Dec 12, 2013","$6.99","95% (N/A)","125,771 ±9,057","29:07 (03:30)"
"110","Nihilumbra","Oct 25, 2013","$7.99","91% (75%)","125,088 ±9,033","02:38 (01:44)"
"167","Thunder Wolves","May 15, 2013","$9.99","N/A (69%)","125,088 ±9,033","01:36 (00:36)"
"87","Expeditions: Conquistador","May 30, 2013","$19.99","84% (77%)","124,746 ±9,020","10:37 (02:31)"
"566","Anomaly Korea","Nov 6, 2013","$4.99","N/A (N/A)","123,720 ±8,983","01:34 (00:57)"
"475","Lost Planet 3","Aug 26, 2013","$24.99","67% (N/A)","123,037 ±8,958","09:19 (04:11)"
"49","The Cat Lady","Dec 4, 2013","$9.99","93% (81%)","122,695 ±8,946","05:27 (01:54)"
"240","Alien Rage - Unlimited","Sep 24, 2013","$19.99","74% (52%)","122,012 ±8,921","03:27 (00:54)"
"559","Axis Game Factory's AGFPRO 3.0","Nov 19, 2013","$19.99","N/A (N/A)","122,012 ±8,921","03:58 (00:19)"
"252","Star Trek","Apr 23, 2013","$14.99","68% (43%)","121,670 ±8,908","06:10 (02:33)"
"330","Gorky 17","Sep 27, 2013","$4.99","N/A (N/A)","121,670 ±8,908","02:16 (00:12)"
"107","Syder Arcade","Oct 24, 2013","$9.99","N/A (76%)","121,157 ±8,890","02:39 (01:53)"
"336","Not The Robots","Dec 12, 2013","$9.99","N/A (N/A)","120,815 ±8,877","02:12 (01:44)"
