"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"366","Super Puzzle Platformer Deluxe","May 24, 2013","$7.99","N/A (N/A)","42,038 ±5,237","03:23 (01:32)"
"433","Heli Heroes","Nov 1, 2013","$4.99","N/A (N/A)","41,525 ±5,205","00:06 (00:05)"
"457","Teenage Mutant Ninja Turtles: Out of the Shadows","Aug 28, 2013","$14.99","55% (N/A)","41,525 ±5,205","04:46 (01:41)"
"346","MURI","Dec 6, 2013","$3.99","N/A (N/A)","40,841 ±5,162","02:16 (00:56)"
"581","Paranormal","Sep 12, 2013","$9.99","N/A (N/A)","40,329 ±5,129","02:34 (01:36)"
"487","Escape Goat","Oct 9, 2013","$4.99","N/A (N/A)","40,158 ±5,118","02:39 (01:58)"
"242","Lords of Football","Apr 5, 2013","$14.99","N/A (52%)","39,816 ±5,097","05:54 (01:36)"
"497","Infected: The Twin Vaccine - Collector's Edition","Aug 8, 2013","$13.99","N/A (N/A)","39,645 ±5,086","01:54 (02:04)"
"488","Shadows: Price For Our Sins","Oct 24, 2013","$9.99","N/A (N/A)","39,474 ±5,075","02:50 (02:05)"
"85","Soundodger+","Oct 11, 2013","$7.99","N/A (78%)","38,791 ±5,031","07:57 (01:23)"
"313","Farming Giant","Nov 6, 2013","$9.99","N/A (N/A)","38,449 ±5,008","03:05 (00:17)"
"102","Fester Mudd: Curse of the Gold - Episode 1","Nov 4, 2013","$9.99","N/A (76%)","37,936 ±4,975","01:02 (00:46)"
"529","Poof","Nov 8, 2013","$6.99","N/A (N/A)","37,595 ±4,952","02:02 (01:03)"
"298","Afterfall InSanity - Dirty Arena Edition","May 9, 2013","$0.99","N/A (N/A)","37,253 ±4,930","01:34 (00:11)"
"523","Eador. Genesis","Oct 14, 2013","$5.99","N/A (N/A)","36,911 ±4,907","22:22 (01:38)"
"555","Eleusis","Oct 16, 2013","$14.99","N/A (N/A)","36,228 ±4,862","01:06 (00:42)"
"420","3079 -- Block Action RPG","Nov 14, 2013","$6.99","N/A (N/A)","36,057 ±4,850","03:52 (01:18)"
"338","Gentlemen!","Nov 5, 2013","$4.99","N/A (N/A)","35,544 ±4,815","01:40 (00:57)"
"190","Final Exam","Nov 5, 2013","$9.99","N/A (66%)","35,373 ±4,804","03:53 (02:19)"
"126","Fist Puncher","Jun 21, 2013","$9.99","N/A (73%)","34,860 ±4,769","02:54 (01:49)"
"396","The Mysterious Cities of Gold - Secret Paths","Nov 20, 2013","$14.99","N/A (N/A)","34,690 ±4,757","00:52 (00:18)"
"162","Marc Eck's Getting Up: Contents Under Pressure","Dec 13, 2013","$14.99","N/A (69%)","34,519 ±4,746","02:54 (00:55)"
"542","Jack Keane 2 - The Fire Within","Jun 28, 2013","$29.99","N/A (N/A)","34,519 ±4,746","06:09 (04:44)"
"138","Aarklash: Legacy","Sep 12, 2013","$19.99","N/A (72%)","33,664 ±4,686","07:20 (03:59)"
"378","The Apogee Throwback Pack","Jul 1, 2013","$9.99","N/A (N/A)","33,664 ±4,686","01:07 (00:20)"
"541","Slam Bolt Scrappers","Mar 14, 2013","$9.99","N/A (N/A)","33,322 ±4,663","02:27 (00:55)"
"61","Dyad","Apr 24, 2013","$14.99","N/A (80%)","33,152 ±4,651","00:41 (00:17)"
"261","Citadels","Jul 25, 2013","$14.99","N/A (20%)","33,152 ±4,651","03:25 (01:58)"
"197","Oozi: Earth Adventure","Dec 5, 2013","$4.99","N/A (66%)","32,468 ±4,602","02:37 (01:24)"
"260","Legends of Dawn","Jun 27, 2013","$19.99","N/A (29%)","31,785 ±4,554","05:44 (02:07)"
"319","Vector","Dec 3, 2013","$6.99","N/A (N/A)","31,614 ±4,541","02:28 (01:31)"
"484","Beast Boxing Turbo","Nov 19, 2013","$4.99","N/A (N/A)","31,101 ±4,504","01:22 (01:00)"
"438","Magrunner: Dark Pulse","Jun 20, 2013","$9.99","N/A (N/A)","30,588 ±4,467","04:02 (02:02)"
"574","Reach for the Sun","Nov 7, 2013","$4.99","N/A (N/A)","30,588 ±4,467","02:41 (01:28)"
